identificacion,corte_mes,saldo
R6XC1HPW2F2OYGFS2,2024-12-31,3983478
7AQPGU50TED28A7G6,2024-12-31,4163361
EX2GMK7UHXBM6P2OW,2023-07-31,6760569
V1SRV6QGJWWC8JVW0,2023-02-28,1461567
PQHMTD7TS2Q7AM9C6,2023-09-30,4992649
LYQEIHF686T8C6FUH,2023-03-31,4741768
BJSA6PK9IP3QNY0GU,2024-06-30,209548
VZPJAHRX89B2CPA40,2024-05-31,3476983
V2NG3GK779G8J7A0S,2024-02-29,5596444
XT6P8GPRWDSJSYZKR,2023-01-31,3952135
7PLLCJPG8BTDR1ND3,2024-06-30,6041243
5CS7MKN5CCCZTYEH8,2023-02-28,3543527
9IL03MCKH41ZX8EVC,2024-02-29,6228618
XT6P8GPRWDSJSYZKR,2024-06-30,2482169
79KX9A87LHVX4DRM4,2023-11-30,4427164
DJXLPRMY5ZZMANLU6,2023-06-30,3258713
IHBDM8XWHP0LUZ7NR,2024-05-31,3877614
51UQ4XPBN39O7QIOO,2023-05-31,4669229
4M67RWDJ0PY180OMY,2023-06-30,6568608
9DQS2WEXYFKHTNXUB,2023-08-31,6399141
9F27PNL29KIWUI8V1,2024-10-31,131366
ZBRHGSC2D0501QLTX,2023-06-30,1983012
THJ9OBJH3W6ANRCMS,2024-03-31,1690007
FA2OC6FGIMI4S37PU,2023-10-31,6413862
ORSVN3W6R6KI4L6K7,2023-03-31,3414664
C89YVYS8RINE8LHLO,2024-07-31,6695459
VNTN2FOUQHBSVRLKZ,2023-04-30,5865615
LATSV8PKLN0G0XSCQ,2024-05-31,1319144
R6XC1HPW2F2OYGFS2,2023-08-31,4389396
FA2OC6FGIMI4S37PU,2024-12-31,3043809
VHX791SAUG7W7R63P,2023-09-30,2527236
5VVHS1PF81H0K03QN,2023-08-31,2301750
VZPJAHRX89B2CPA40,2023-08-31,1435780
FA2OC6FGIMI4S37PU,2023-03-31,6009181
6RNZ6V20ZBCHCCIPT,2024-09-30,3816558
4HER62QO48L3HOLG6,2023-01-31,4412963
9IL03MCKH41ZX8EVC,2024-12-31,457863
PSRCQ6DW4S2N7175C,2024-07-31,561918
ITDKGZGY3D1CQ22P4,2023-12-31,1920727
977FYO2GIYKZOIEB6,2024-04-30,4002046
ZBRHGSC2D0501QLTX,2023-10-31,558503
VZPJAHRX89B2CPA40,2023-07-31,593466
E0P3U76BSR8JVOEAS,2024-10-31,6656203
VEYQK2P1HT4EDEU8Z,2024-06-30,3713764
0TQ17VI65FDDKT227,2024-04-30,3635460
SUK8675QWKY38XUZB,2024-06-30,5940223
MUIZHHC8NUPU3856X,2023-04-30,6286037
UOHQ6DHPAN7V486JH,2024-07-31,1791439
Z8WH1L99SI8KI6NIV,2024-09-30,1709648
EX2GMK7UHXBM6P2OW,2024-02-29,2984545
4M67RWDJ0PY180OMY,2023-05-31,3919508
E0P3U76BSR8JVOEAS,2023-12-31,562336
9F27PNL29KIWUI8V1,2024-01-31,5506420
VEYQK2P1HT4EDEU8Z,2023-10-31,2822131
SKH4GHZSBWP3QGNNK,2024-03-31,4508032
XYYJ1CS2J4N0KXRG2,2024-09-30,3343241
K7OLAZQZTOKBXBQVR,2024-06-30,3509294
6T645BU8TYM8VGXKO,2024-01-31,1213158
A4JYPUIFCGXQSH8XL,2023-08-31,6220075
BUDE132ZGBWCF5SIZ,2023-04-30,6122084
WI9LBMXJ0YIBEJ357,2023-02-28,4723536
A4JYPUIFCGXQSH8XL,2024-04-30,6139521
7ZQT4ZSYX2JJH3BHK,2024-01-31,835914
VZPJAHRX89B2CPA40,2023-03-31,411449
QNCADSU9WB6X6JEXE,2024-08-31,1268067
QNCADSU9WB6X6JEXE,2023-03-31,747078
FBMRRTAV36KC40D1Z,2024-11-30,1945215
Z8WH1L99SI8KI6NIV,2024-07-31,4005707
XEVZL0LOYONKMBWZY,2023-12-31,1603099
WI9LBMXJ0YIBEJ357,2024-11-30,3696747
6RNZ6V20ZBCHCCIPT,2023-05-31,4216972
DJXLPRMY5ZZMANLU6,2023-03-31,6761385
7ZQT4ZSYX2JJH3BHK,2023-01-31,6541645
XYYJ1CS2J4N0KXRG2,2023-10-31,5268388
V1SRV6QGJWWC8JVW0,2024-09-30,5414496
A4LKAXWACFA995KE1,2024-05-31,4225014
9Y4LCJDQLDU43LOK4,2023-06-30,4328264
9G2XZ3XNAY7J6KTJN,2023-11-30,6793776
NYD2J0FAEI05SQVAY,2023-11-30,617102
RRS0030J6RHTUQ2RK,2023-06-30,6534856
BOWGL6ZFJ8V4E620T,2024-05-31,2703341
XTUS49QJ4P8A8OCOB,2024-02-29,2462534
9DQS2WEXYFKHTNXUB,2023-09-30,5170230
FXIQJ8T0RNKU5YYZL,2024-09-30,2927372
OL2AN4Q8PF7T5DNJA,2023-01-31,761403
X4YOXMSTBUXXCUOGK,2024-02-29,58799
9IL03MCKH41ZX8EVC,2024-04-30,386175
JTZWA92S5243CPZDG,2023-05-31,5435018
D7UUQ6CP4DWYGZF0Z,2024-02-29,1314063
6T645BU8TYM8VGXKO,2023-07-31,4511307
3QWPW0GFU2JIA5UE4,2023-01-31,922210
XT6P8GPRWDSJSYZKR,2024-05-31,4303200
UOHQ6DHPAN7V486JH,2023-02-28,3185729
OBPVWFPY1GIGMACGG,2023-02-28,4632905
OL2AN4Q8PF7T5DNJA,2023-06-30,5717030
5CS7MKN5CCCZTYEH8,2024-03-31,4873734
VZPJAHRX89B2CPA40,2024-03-31,5830309
4TL0TI5WAALM6P0AH,2023-06-30,5287811
PSRCQ6DW4S2N7175C,2024-05-31,1261054
H9QCKG6XB01NQCZO9,2023-04-30,5250210
Y6PZ8ICUVSNUUVGC6,2024-04-30,5557899
A4JYPUIFCGXQSH8XL,2024-10-31,6633254
83Y10YDW1OI06N9ZM,2023-03-31,5126569
DJXLPRMY5ZZMANLU6,2024-03-31,2975447
ZBRHGSC2D0501QLTX,2024-12-31,543705
DWJ0GFUKS12L7Y0G9,2024-06-30,2027872
5VVHS1PF81H0K03QN,2023-01-31,4340532
RRS0030J6RHTUQ2RK,2024-10-31,69544
OJQZJBSXV2EELB04H,2024-04-30,4812141
V2NG3GK779G8J7A0S,2024-03-31,2177663
7AQPGU50TED28A7G6,2023-01-31,6587920
Y9LTUSGD9M83VAB0I,2023-08-31,3063282
ZBRHGSC2D0501QLTX,2024-07-31,5817092
LATSV8PKLN0G0XSCQ,2023-03-31,4957517
5VVHS1PF81H0K03QN,2023-09-30,4791269
XRD31U4F7GM99U92O,2024-01-31,5374090
N28ZTD9G5EYTS9PZY,2023-08-31,3557216
7AQPGU50TED28A7G6,2024-08-31,5137444
SUK8675QWKY38XUZB,2024-04-30,3124542
UP8K03IYUM8HZ8NLC,2023-04-30,1718676
2XCK13Y6KY3FTUJ0T,2024-12-31,5579191
5CS7MKN5CCCZTYEH8,2024-05-31,1731576
U5I6FRV4Z2WTHAYXA,2024-11-30,6888962
BQLAQGMLUN5Y6VU3U,2023-03-31,4432478
XTUS49QJ4P8A8OCOB,2024-11-30,1742866
HDTGP1H5F336COXZX,2023-01-31,4505190
T3ZXYYXXBKASGDXYG,2023-10-31,2632652
R7Q4Z9AULIORDJQ9D,2024-10-31,1030893
SUK8675QWKY38XUZB,2023-01-31,357685
LMHCV45KAJNLAV6CI,2023-09-30,2544491
VZPJAHRX89B2CPA40,2024-04-30,1080392
UOHQ6DHPAN7V486JH,2023-04-30,964235
J899WRG0VOOF1WON0,2024-12-31,3952255
1MFXZRYV4MFOBXIAJ,2024-09-30,4847311
SUK8675QWKY38XUZB,2023-05-31,3424427
BJ37EOP5EGMDLO3MP,2023-05-31,6247531
FBMRRTAV36KC40D1Z,2024-01-31,3485300
51UQ4XPBN39O7QIOO,2023-06-30,74474
WI9LBMXJ0YIBEJ357,2024-03-31,5549815
375WULANW2HVOVK5J,2023-05-31,2575511
BOWGL6ZFJ8V4E620T,2023-06-30,189576
NDN0JWDWD4PJPHKO9,2023-11-30,4516345
4TL0TI5WAALM6P0AH,2023-07-31,4225103
Z4HM8TL716AK8U17L,2024-04-30,1116790
KLRH1ZESF492S056H,2024-06-30,4238478
WLHSCECOGSRZSUK44,2023-06-30,5655300
HDTGP1H5F336COXZX,2024-03-31,326793
WI9LBMXJ0YIBEJ357,2024-02-29,5541241
VZPJAHRX89B2CPA40,2023-02-28,71323
V1SRV6QGJWWC8JVW0,2023-05-31,2929534
3PS05CCLIJVJ8J2KT,2024-10-31,6635528
C89YVYS8RINE8LHLO,2024-12-31,2714988
OQ5Y6DD3YNNZYDOK7,2024-10-31,6839245
7PLLCJPG8BTDR1ND3,2023-08-31,1643912
5P7TLU9HROJCCH8XF,2024-09-30,4905486
9IL03MCKH41ZX8EVC,2024-07-31,935120
R7Q4Z9AULIORDJQ9D,2023-10-31,3675288
FDS0N1SJL1R9K1IB4,2023-08-31,2719900
V2NG3GK779G8J7A0S,2023-12-31,4675517
X4YOXMSTBUXXCUOGK,2023-02-28,2521681
ORSVN3W6R6KI4L6K7,2024-05-31,530502
5SKDNN35BDFYCRZ3T,2023-07-31,4613983
OBPVWFPY1GIGMACGG,2024-12-31,1726640
VEYQK2P1HT4EDEU8Z,2024-11-30,5041564
AXH5M6W00RW6A1MRV,2023-01-31,4489798
9Y4LCJDQLDU43LOK4,2023-05-31,4806867
KXDUI2BQC1ZQ25O4C,2024-08-31,702999
3QWPW0GFU2JIA5UE4,2023-04-30,3701126
GTLAUQABS3K1IHWCJ,2023-11-30,1172092
KCLWQ204AZ5D2W8QN,2024-08-31,5793179
83Y10YDW1OI06N9ZM,2023-10-31,6083902
RRS0030J6RHTUQ2RK,2023-05-31,5707757
VNTN2FOUQHBSVRLKZ,2023-12-31,6404138
NYD2J0FAEI05SQVAY,2023-12-31,4662727
QNCADSU9WB6X6JEXE,2024-07-31,6693101
XYYJ1CS2J4N0KXRG2,2023-06-30,5724937
PSRCQ6DW4S2N7175C,2024-03-31,4611065
HDTGP1H5F336COXZX,2023-07-31,4471381
Z8WH1L99SI8KI6NIV,2024-10-31,2583580
L8NOLOQ0MHSBXLPC8,2024-05-31,4445679
83Y10YDW1OI06N9ZM,2024-06-30,6018174
9NWFWJ38XN31WBFXG,2023-12-31,3283602
H9QCKG6XB01NQCZO9,2023-12-31,5908608
OJQZJBSXV2EELB04H,2023-09-30,1385283
U5I6FRV4Z2WTHAYXA,2024-08-31,5835890
ITDKGZGY3D1CQ22P4,2023-07-31,4223558
UXT0SVW2ICMQTZACJ,2023-05-31,1896637
VEYQK2P1HT4EDEU8Z,2023-06-30,6677691
A4JYPUIFCGXQSH8XL,2023-05-31,6014334
OCCKGZM8DIZCYX3CJ,2023-01-31,4840934
IGOQX9XYBSRDMOZXT,2023-01-31,597564
NDN0JWDWD4PJPHKO9,2023-06-30,5016467
5SKDNN35BDFYCRZ3T,2024-10-31,237513
7PLLCJPG8BTDR1ND3,2023-07-31,4600536
SUK8675QWKY38XUZB,2024-03-31,2592302
4HER62QO48L3HOLG6,2024-02-29,4277015
DJXLPRMY5ZZMANLU6,2023-09-30,1740102
PEYORPWSHOAUXOPB8,2024-11-30,4048512
E0P3U76BSR8JVOEAS,2023-06-30,2922125
RVDHIRC8T2IA2OUOW,2023-08-31,5852578
MGD1S17DROU71KI80,2024-08-31,4336630
4TL0TI5WAALM6P0AH,2023-12-31,4155328
Y9LTUSGD9M83VAB0I,2024-07-31,1418103
MGD1S17DROU71KI80,2023-09-30,5560957
VIOMZ3660T8XTY6RC,2024-03-31,4969263
83Y10YDW1OI06N9ZM,2024-01-31,4007037
VU97XYAGZZS7LOG4E,2023-10-31,2880212
NYD2J0FAEI05SQVAY,2023-06-30,1710059
I9WWI0Z0BQBBIKN76,2023-03-31,1770946
OBPVWFPY1GIGMACGG,2024-08-31,1118299
K4BAGGWMVBZXC8Z0R,2024-10-31,703179
DJXLPRMY5ZZMANLU6,2023-04-30,4633679
IC9TR053SOF1562RK,2023-01-31,1182358
AIQASN1W6XH7O9AI8,2023-12-31,1322201
UP8K03IYUM8HZ8NLC,2024-06-30,5567177
